City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Jawhar,SO,79.29,few clouds,2.7809,45.5005,cosoble spare parts
5,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
6,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
11,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Bagaha,IN,77.59,broken clouds,27.1,84.0833,Hotel The Royal Residency
28,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Rikitea,PF,77.4,scattered clouds,-23.1203,-134.9692,Pension Maro'i
33,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
42,Atuona,PF,80.73,broken clouds,-9.8,-139.0333,Villa Enata
43,Tombouctou,ML,80.15,clear sky,20.0,-3.0,
48,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
51,Carnarvon,AU,78.57,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Pringsewu,ID,76.87,scattered clouds,-5.3582,104.9744,Urban Style by Front One
57,Bambous Virieux,MU,75.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
62,Labuhan,ID,80.62,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
69,Lorengau,PG,83.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
70,Puerto Colombia,CO,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
73,Kavaratti,IN,83.88,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
76,Dzaoudzi,YT,82.4,broken clouds,-12.7887,45.2699,Le Rocher
77,Boffa,GN,78.48,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
81,Bonthe,SL,78.66,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
83,Saint-Philippe,RE,75.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Jizan,SA,84.2,few clouds,17.3333,42.6667,شهدان. ابوالحجر
85,Mareeba,AU,84.2,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
93,Bang Saphan,TH,84.0,few clouds,11.2126,99.5117,Ladawan Boutique Hotel
95,Khanpur,PK,75.61,scattered clouds,28.6453,70.6567,Ahmad bartan store
100,Sao Tome,ST,81.77,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
103,Sur,OM,81.97,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
