City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.6,65,20,6.91,few clouds
1,Jacareacanga,BR,-6.2222,-57.7528,72.16,99,100,1.92,moderate rain
2,Cidreira,BR,-30.1811,-50.2056,70.09,85,100,7.72,overcast clouds
3,Jawhar,SO,2.7809,45.5005,79.29,74,12,5.39,few clouds
4,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,72.86,67,51,4.83,broken clouds
5,Kapaa,US,22.0752,-159.319,75.2,60,40,12.66,scattered clouds
6,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,19.57,scattered clouds
7,Mataura,NZ,-46.1927,168.8643,60.01,73,70,7.0,broken clouds
8,Nikolskoye,RU,59.7035,30.7861,44.6,42,0,8.95,clear sky
9,Port Hardy,CA,50.6996,-127.4199,66.2,45,1,8.05,clear sky
10,Hasaki,JP,35.7333,140.8333,68.0,34,20,18.41,few clouds
11,Hilo,US,19.7297,-155.09,80.6,54,75,6.91,broken clouds
12,Kruisfontein,ZA,-34.0033,24.7314,62.8,27,0,5.99,clear sky
13,Barrow,US,71.2906,-156.7887,32.0,80,1,14.97,clear sky
14,Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,2.3,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,51.8,58,40,10.36,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,53.01,76,75,6.91,broken clouds
17,Narsaq,GL,60.9167,-46.05,23.0,50,20,2.3,few clouds
18,Bagaha,IN,27.1,84.0833,77.59,35,52,8.1,broken clouds
19,Albany,US,42.6001,-73.9662,45.0,75,89,2.84,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,69.01,36,0,1.01,clear sky
21,Tasiilaq,GL,65.6145,-37.6368,23.0,86,90,2.51,light snow
22,Kodiak,US,57.79,-152.4072,42.8,81,90,4.61,light rain
23,Cape Town,ZA,-33.9258,18.4232,69.01,82,0,6.91,clear sky
24,Busselton,AU,-33.65,115.3333,64.0,74,0,1.99,clear sky
25,Ucluelet,CA,48.9329,-125.5528,64.4,45,1,5.75,clear sky
26,Serta,PT,39.8085,-8.0988,57.0,72,100,2.59,overcast clouds
27,Yauya,PE,-8.9833,-77.3,50.45,81,100,5.01,light rain
28,Hithadhoo,MV,-0.6,73.0833,81.91,63,99,4.29,overcast clouds
29,Zhigalovo,RU,54.8097,105.1578,23.16,64,26,6.6,scattered clouds
30,Rikitea,PF,-23.1203,-134.9692,77.4,68,50,5.35,scattered clouds
31,Ribeira Grande,PT,38.5167,-28.7,62.08,90,24,13.13,few clouds
32,Mount Gambier,AU,-37.8333,140.7667,59.0,88,75,11.5,broken clouds
33,Mahebourg,MU,-20.4081,57.7,75.2,94,40,6.91,light rain
34,Pteleos,GR,39.05,22.95,53.6,87,90,2.55,overcast clouds
35,Qaanaaq,GL,77.484,-69.3632,-1.84,97,100,6.35,overcast clouds
36,Kerouane,GN,9.2667,-9.0167,72.41,74,100,1.97,overcast clouds
37,Bredasdorp,ZA,-34.5322,20.0403,46.4,93,0,4.61,clear sky
38,Hammerfest,NO,70.6634,23.6821,33.8,93,41,2.3,scattered clouds
39,Ilulissat,GL,69.2167,-51.1,8.6,61,75,14.97,broken clouds
40,Avarua,CK,-21.2078,-159.775,84.2,65,40,8.05,light rain
41,Leningradskiy,RU,69.3833,178.4167,34.97,83,100,8.68,overcast clouds
42,Atuona,PF,-9.8,-139.0333,80.73,73,64,19.73,broken clouds
43,Tombouctou,ML,20.0,-3.0,80.15,17,5,8.23,clear sky
44,Roald,NO,62.5833,6.1333,41.0,56,0,10.36,clear sky
45,Borova,UA,50.1763,30.1043,41.0,100,75,4.47,mist
46,Clyde River,CA,70.4692,-68.5914,6.8,85,90,12.66,overcast clouds
47,Piranshahr,IR,36.701,45.1413,52.57,58,10,4.0,clear sky
48,Mount Isa,AU,-20.7333,139.5,78.8,29,0,14.97,clear sky
49,Ahipara,NZ,-35.1667,173.1667,62.58,57,100,7.18,overcast clouds
50,Kaitangata,NZ,-46.2817,169.8464,59.0,63,48,4.0,scattered clouds
51,Carnarvon,AU,-24.8667,113.6333,78.57,46,43,2.8,scattered clouds
52,Nantucket,US,41.2835,-70.0995,42.8,75,90,5.75,overcast clouds
53,Zhireken,RU,52.8249,117.3076,50.32,33,59,5.59,broken clouds
54,Ola,RU,59.5833,151.2833,29.82,86,100,5.82,overcast clouds
55,Pringsewu,ID,-5.3582,104.9744,76.87,89,48,2.28,scattered clouds
56,Chuy,UY,-33.6971,-53.4616,63.93,90,56,5.7,broken clouds
57,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,75,5.75,broken clouds
58,Adeje,ES,28.1227,-16.726,68.0,63,40,12.66,scattered clouds
59,Katsuura,JP,35.1333,140.3,66.0,39,0,11.99,clear sky
60,Qasigiannguit,GL,68.8193,-51.1922,8.6,61,75,14.97,broken clouds
61,Visnes,NO,59.3556,5.2242,37.4,93,8,3.44,clear sky
62,Labuhan,ID,-6.8844,112.2051,80.62,78,93,3.29,overcast clouds
